"","Country.Region","Date","confirmed","new_confirmed","deaths","new_deaths","recovered","new_recovered","active","new_active"
"1","Afghanistan",2020-01-22,0,0,0,0,0,0,0,0
"2","Afghanistan",2020-01-23,0,0,0,0,0,0,0,0
"3","Afghanistan",2020-01-24,0,0,0,0,0,0,0,0
"4","Afghanistan",2020-01-25,0,0,0,0,0,0,0,0
"5","Afghanistan",2020-01-26,0,0,0,0,0,0,0,0
"6","Afghanistan",2020-01-27,0,0,0,0,0,0,0,0
"7","Afghanistan",2020-01-28,0,0,0,0,0,0,0,0
"8","Afghanistan",2020-01-29,0,0,0,0,0,0,0,0
"9","Afghanistan",2020-01-30,0,0,0,0,0,0,0,0
"10","Afghanistan",2020-01-31,0,0,0,0,0,0,0,0
"11","Afghanistan",2020-02-01,0,0,0,0,0,0,0,0
"12","Afghanistan",2020-02-02,0,0,0,0,0,0,0,0
"13","Afghanistan",2020-02-03,0,0,0,0,0,0,0,0
"14","Afghanistan",2020-02-04,0,0,0,0,0,0,0,0
"15","Afghanistan",2020-02-05,0,0,0,0,0,0,0,0
"16","Afghanistan",2020-02-06,0,0,0,0,0,0,0,0
"17","Afghanistan",2020-02-07,0,0,0,0,0,0,0,0
"18","Afghanistan",2020-02-08,0,0,0,0,0,0,0,0
"19","Afghanistan",2020-02-09,0,0,0,0,0,0,0,0
"20","Afghanistan",2020-02-10,0,0,0,0,0,0,0,0
"21","Afghanistan",2020-02-11,0,0,0,0,0,0,0,0
"22","Afghanistan",2020-02-12,0,0,0,0,0,0,0,0
"23","Afghanistan",2020-02-13,0,0,0,0,0,0,0,0
"24","Afghanistan",2020-02-14,0,0,0,0,0,0,0,0
"25","Afghanistan",2020-02-15,0,0,0,0,0,0,0,0
"26","Afghanistan",2020-02-16,0,0,0,0,0,0,0,0
"27","Afghanistan",2020-02-17,0,0,0,0,0,0,0,0
"28","Afghanistan",2020-02-18,0,0,0,0,0,0,0,0
"29","Afghanistan",2020-02-19,0,0,0,0,0,0,0,0
"30","Afghanistan",2020-02-20,0,0,0,0,0,0,0,0
"31","Afghanistan",2020-02-21,0,0,0,0,0,0,0,0
"32","Afghanistan",2020-02-22,0,0,0,0,0,0,0,0
"33","Afghanistan",2020-02-23,0,0,0,0,0,0,0,0
"34","Afghanistan",2020-02-24,1,1,0,0,0,0,1,1
"35","Afghanistan",2020-02-25,1,0,0,0,0,0,1,0
"36","Afghanistan",2020-02-26,1,0,0,0,0,0,1,0
"37","Afghanistan",2020-02-27,1,0,0,0,0,0,1,0
"38","Afghanistan",2020-02-28,1,0,0,0,0,0,1,0
"39","Afghanistan",2020-02-29,1,0,0,0,0,0,1,0
"40","Afghanistan",2020-03-01,1,0,0,0,0,0,1,0
"41","Afghanistan",2020-03-02,1,0,0,0,0,0,1,0
"42","Afghanistan",2020-03-03,1,0,0,0,0,0,1,0
"43","Afghanistan",2020-03-04,1,0,0,0,0,0,1,0
"44","Afghanistan",2020-03-05,1,0,0,0,0,0,1,0
"45","Afghanistan",2020-03-06,1,0,0,0,0,0,1,0
"46","Afghanistan",2020-03-07,1,0,0,0,0,0,1,0
"47","Afghanistan",2020-03-08,4,3,0,0,0,0,4,3
"48","Afghanistan",2020-03-09,4,0,0,0,0,0,4,0
"49","Afghanistan",2020-03-10,5,1,0,0,0,0,5,1
"50","Afghanistan",2020-03-11,7,2,0,0,0,0,7,2
"51","Afghanistan",2020-03-12,7,0,0,0,0,0,7,0
"52","Afghanistan",2020-03-13,7,0,0,0,0,0,7,0
"53","Afghanistan",2020-03-14,11,4,0,0,0,0,11,4
"54","Afghanistan",2020-03-15,16,5,0,0,0,0,16,5
"55","Afghanistan",2020-03-16,21,5,0,0,1,1,20,4
"56","Afghanistan",2020-03-17,22,1,0,0,1,0,21,1
"57","Afghanistan",2020-03-18,22,0,0,0,1,0,21,0
"58","Afghanistan",2020-03-19,22,0,0,0,1,0,21,0
"59","Afghanistan",2020-03-20,24,2,0,0,1,0,23,2
"60","Afghanistan",2020-03-21,24,0,0,0,1,0,23,0
"61","Afghanistan",2020-03-22,40,16,1,1,1,0,38,15
"62","Afghanistan",2020-03-23,40,0,1,0,1,0,38,0
"63","Afghanistan",2020-03-24,74,34,1,0,1,0,72,34
"64","Afghanistan",2020-03-25,84,10,2,1,2,1,80,8
"65","Afghanistan",2020-03-26,94,10,4,2,2,0,88,8
"66","Afghanistan",2020-03-27,110,16,4,0,2,0,104,16
"67","Afghanistan",2020-03-28,110,0,4,0,2,0,104,0
"68","Afghanistan",2020-03-29,120,10,4,0,2,0,114,10
"69","Afghanistan",2020-03-30,170,50,4,0,2,0,164,50
"70","Afghanistan",2020-03-31,174,4,4,0,5,3,165,1
"71","Afghanistan",2020-04-01,237,63,4,0,5,0,228,63
"72","Afghanistan",2020-04-02,273,36,6,2,10,5,257,29
"73","Afghanistan",2020-04-03,281,8,6,0,10,0,265,8
"74","Afghanistan",2020-04-04,299,18,7,1,10,0,282,17
"75","Afghanistan",2020-04-05,349,50,7,0,15,5,327,45
"76","Afghanistan",2020-04-06,367,18,11,4,18,3,338,11
"77","Afghanistan",2020-04-07,423,56,14,3,18,0,391,53
"78","Afghanistan",2020-04-08,444,21,14,0,29,11,401,10
"79","Afghanistan",2020-04-09,484,40,15,1,32,3,437,36
"80","Afghanistan",2020-04-10,521,37,15,0,32,0,474,37
"81","Afghanistan",2020-04-11,555,34,18,3,32,0,505,31
"82","Afghanistan",2020-04-12,607,52,18,0,32,0,557,52
"83","Afghanistan",2020-04-13,665,58,21,3,32,0,612,55
"84","Afghanistan",2020-04-14,714,49,23,2,40,8,651,39
"85","Afghanistan",2020-04-15,784,70,25,2,43,3,716,65
"86","Afghanistan",2020-04-16,840,56,30,5,54,11,756,40
"87","Afghanistan",2020-04-17,906,66,30,0,99,45,777,21
"88","Afghanistan",2020-04-18,933,27,30,0,112,13,791,14
"89","Afghanistan",2020-04-19,996,63,33,3,131,19,832,41
"90","Afghanistan",2020-04-20,1026,30,36,3,135,4,855,23
"91","Afghanistan",2020-04-21,1092,66,36,0,150,15,906,51
"92","Afghanistan",2020-04-22,1176,84,40,4,166,16,970,64
"93","Afghanistan",2020-04-23,1279,103,42,2,179,13,1058,88
"94","Afghanistan",2020-04-24,1351,72,43,1,188,9,1120,62
"95","Afghanistan",2020-04-25,1463,112,47,4,188,0,1228,108
"96","Afghanistan",2020-04-26,1531,68,50,3,207,19,1274,46
"97","Afghanistan",2020-04-27,1703,172,57,7,220,13,1426,152
"98","Albania",2020-01-22,0,0,0,0,0,0,0,0
"99","Albania",2020-01-23,0,0,0,0,0,0,0,0
"100","Albania",2020-01-24,0,0,0,0,0,0,0,0
"101","Albania",2020-01-25,0,0,0,0,0,0,0,0
"102","Albania",2020-01-26,0,0,0,0,0,0,0,0
"103","Albania",2020-01-27,0,0,0,0,0,0,0,0
"104","Albania",2020-01-28,0,0,0,0,0,0,0,0
"105","Albania",2020-01-29,0,0,0,0,0,0,0,0
"106","Albania",2020-01-30,0,0,0,0,0,0,0,0
"107","Albania",2020-01-31,0,0,0,0,0,0,0,0
"108","Albania",2020-02-01,0,0,0,0,0,0,0,0
"109","Albania",2020-02-02,0,0,0,0,0,0,0,0
"110","Albania",2020-02-03,0,0,0,0,0,0,0,0
"111","Albania",2020-02-04,0,0,0,0,0,0,0,0
"112","Albania",2020-02-05,0,0,0,0,0,0,0,0
"113","Albania",2020-02-06,0,0,0,0,0,0,0,0
"114","Albania",2020-02-07,0,0,0,0,0,0,0,0
"115","Albania",2020-02-08,0,0,0,0,0,0,0,0
"116","Albania",2020-02-09,0,0,0,0,0,0,0,0
"117","Albania",2020-02-10,0,0,0,0,0,0,0,0
"118","Albania",2020-02-11,0,0,0,0,0,0,0,0
"119","Albania",2020-02-12,0,0,0,0,0,0,0,0
"120","Albania",2020-02-13,0,0,0,0,0,0,0,0
"121","Albania",2020-02-14,0,0,0,0,0,0,0,0
"122","Albania",2020-02-15,0,0,0,0,0,0,0,0
"123","Albania",2020-02-16,0,0,0,0,0,0,0,0
"124","Albania",2020-02-17,0,0,0,0,0,0,0,0
"125","Albania",2020-02-18,0,0,0,0,0,0,0,0
"126","Albania",2020-02-19,0,0,0,0,0,0,0,0
"127","Albania",2020-02-20,0,0,0,0,0,0,0,0
"128","Albania",2020-02-21,0,0,0,0,0,0,0,0
"129","Albania",2020-02-22,0,0,0,0,0,0,0,0
"130","Albania",2020-02-23,0,0,0,0,0,0,0,0
"131","Albania",2020-02-24,0,0,0,0,0,0,0,0
"132","Albania",2020-02-25,0,0,0,0,0,0,0,0
"133","Albania",2020-02-26,0,0,0,0,0,0,0,0
"134","Albania",2020-02-27,0,0,0,0,0,0,0,0
"135","Albania",2020-02-28,0,0,0,0,0,0,0,0
"136","Albania",2020-02-29,0,0,0,0,0,0,0,0
"137","Albania",2020-03-01,0,0,0,0,0,0,0,0
"138","Albania",2020-03-02,0,0,0,0,0,0,0,0
"139","Albania",2020-03-03,0,0,0,0,0,0,0,0
"140","Albania",2020-03-04,0,0,0,0,0,0,0,0
"141","Albania",2020-03-05,0,0,0,0,0,0,0,0
"142","Albania",2020-03-06,0,0,0,0,0,0,0,0
"143","Albania",2020-03-07,0,0,0,0,0,0,0,0
"144","Albania",2020-03-08,0,0,0,0,0,0,0,0
"145","Albania",2020-03-09,2,2,0,0,0,0,2,2
"146","Albania",2020-03-10,10,8,0,0,0,0,10,8
"147","Albania",2020-03-11,12,2,1,1,0,0,11,1
"148","Albania",2020-03-12,23,11,1,0,0,0,22,11
"149","Albania",2020-03-13,33,10,1,0,0,0,32,10
"150","Albania",2020-03-14,38,5,1,0,0,0,37,5
"151","Albania",2020-03-15,42,4,1,0,0,0,41,4
"152","Albania",2020-03-16,51,9,1,0,0,0,50,9
"153","Albania",2020-03-17,55,4,1,0,0,0,54,4
"154","Albania",2020-03-18,59,4,2,1,0,0,57,3
"155","Albania",2020-03-19,64,5,2,0,0,0,62,5
"156","Albania",2020-03-20,70,6,2,0,0,0,68,6
"157","Albania",2020-03-21,76,6,2,0,2,2,72,4
